HCPCS,HCPCS_CCS
NULL,NULL
100,232
102,232
103,232
104,232
120,232
124,232
126,232
140,232
142,232
144,232
145,232
147,232
148,232
160,232
162,232
164,232
170,232
172,232
174,232
176,232
190,232
192,232
210,232
211,232
212,232
214,232
215,232
216,232
218,232
220,232
222,232
300,232
320,232
322,232
326,232
350,232
352,232
400,232
402,232
404,232
406,232
410,232
450,232
452,232
454,232
470,232
472,232
474,232
500,232
520,232
522,232
524,232
528,232
529,232
530,232
532,232
534,232
537,232
539,232
540,232
541,232
542,232
546,232
548,232
550,232
560,232
561,232
562,232
563,232
566,232
567,232
580,232
600,232
604,232
620,232
622,232
625,232
626,232
630,232
632,232
634,232
635,232
640,232
670,232
700,232
702,232
730,232
740,232
750,232
752,232
754,232
756,232
770,232
790,232
792,232
794,232
796,232
797,232
800,232
802,232
810,232
820,232
830,232
832,232
834,232
836,232
840,232
842,232
844,232
846,232
848,232
851,232
860,232
862,232
864,232
865,232
866,232
868,232
870,232
872,230
873,230
880,232
882,232
902,232
904,232
906,232
908,232
910,232
912,232
914,232
916,232
918,232
920,232
921,232
922,232
924,232
926,232
928,232
930,232
932,232
934,232
936,232
938,232
940,232
942,232
944,232
948,232
950,232
952,232
1112,232
1120,232
1130,232
1140,232
1150,232
1160,232
1170,232
1173,232
1180,232
1190,232
1200,232
1202,232
1210,232
1212,232
1214,232
1215,232
1220,232
1230,232
1232,232
1234,232
1250,232
1260,232
1270,232
1272,232
1274,232
1320,232
1340,232
1360,232
1380,232
1382,232
1390,232
1392,232
1400,232
1402,232
1404,232
1420,232
1430,232
1432,232
1440,232
1442,232
1444,232
1462,232
1464,232
1470,232
1472,232
1474,232
1480,232
1482,232
1484,232
1486,232
1490,232
1500,232
1502,232
1520,232
1522,232
1610,232
1620,232
1622,232
1630,232
1634,232
1636,232
1638,232
1650,232
1652,232
1654,232
1656,232
1670,232
1680,232
1682,232
1710,232
1712,232
1714,232
1716,232
1730,232
1732,232
1740,232
1742,232
1744,232
1756,232
1758,232
1760,232
1770,232
1772,232
1780,232
1782,232
1810,232
1820,232
1829,232
1830,232
1832,232
1840,232
1842,232
1844,232
1850,232
1852,232
1860,232
1916,232
1920,232
1922,232
1924,232
1925,232
1926,232
1930,232
1931,232
1932,232
1933,232
1935,232
1936,232
1951,232
1952,232
1953,232
1958,232
1960,232
1961,232
1962,232
1963,232
1965,232
1966,232
1967,232
1968,232
1969,232
1990,232
1991,232
1992,232
1996,232
1999,232
10021,173
10022,173
10030,174
10035,173
10036,173
10040,168
10060,168
10061,168
10080,174
10081,174
10120,174
10121,174
10140,168
10160,170
10180,168
11000,169
11001,169
11004,169
11005,169
11006,169
11008,169
11010,169
11011,169
11012,169
11042,169
11043,169
11044,169
11045,169
11046,169
11047,169
11055,170
11056,170
11057,170
11100,173
11101,173
11200,170
11201,170
11300,170
11301,170
11302,170
11303,170
11305,170
11306,170
11307,170
11308,170
11310,170
11311,170
11312,170
11313,170
11400,170
11401,170
11402,170
11403,170
11404,170
11406,170
11420,170
11421,170
11422,170
11423,170
11424,170
11426,170
11440,170
11441,170
11442,170
11443,170
11444,170
11446,170
11450,170
11451,170
11462,170
11463,170
11470,170
11471,170
11600,170
11601,170
11602,170
11603,170
11604,170
11606,170
11620,170
11621,170
11622,170
11623,170
11624,170
11626,170
11640,170
11641,170
11642,170
11643,170
11644,170
11646,170
11719,174
11720,174
11721,174
11730,174
11732,174
11740,168
11750,174
11752,174
11755,173
11760,175
11762,175
11765,174
11770,175
11771,175
11772,175
11900,231
11901,231
11920,174
11921,174
11922,174
11950,174
11951,174
11952,174
11954,174
11960,175
11970,175
11971,175
11976,174
11980,231
11981,231
11982,174
11983,231
12001,171
12002,171
12004,171
12005,171
12006,171
12007,171
12011,171
12013,171
12014,171
12015,171
12016,171
12017,171
12018,171
12020,171
12021,171
12031,171
12032,171
12034,171
12035,171
12036,171
12037,171
12041,171
12042,171
12044,171
12045,171
12046,171
12047,171
12051,171
12052,171
12053,171
12054,171
12055,171
12056,171
12057,171
13100,171
13101,171
13102,171
13120,171
13121,171
13122,171
13131,171
13132,171
13133,171
13151,19
13152,19
13153,19
13160,171
14000,172
14001,172
14020,172
14021,172
14040,172
14041,172
14060,172
14061,172
14301,172
14302,172
14350,172
15002,172
15003,172
15004,172
15005,172
15040,172
15050,172
15100,172
15101,172
15110,172
15111,172
15115,172
15116,172
15120,172
15121,172
15130,172
15131,172
15135,172
15136,172
15150,172
15151,172
15152,172
15155,172
15156,172
15157,172
15200,172
15201,172
15220,172
15221,172
15240,172
15241,172
15260,172
15261,172
15271,172
15272,172
15273,172
15274,172
15275,172
15276,172
15277,172
15278,172
15570,172
15572,172
15574,172
15576,172
15600,172
15610,172
15620,172
15630,172
15650,172
15731,172
15732,172
15734,172
15736,172
15738,172
15740,175
15750,9
15756,172
15757,172
15758,172
15760,172
15770,172
15775,172
15776,172
15777,175
15780,175
15781,175
15782,175
15783,175
15786,175
15787,175
15788,174
15789,174
15792,174
15793,174
15819,175
15820,19
15821,19
15822,19
15823,19
15824,175
15825,175
15826,175
15828,175
15829,175
15830,175
15832,175
15833,175
15834,175
15835,175
15836,175
15837,175
15838,175
15839,175
15840,172
15841,172
15842,172
15845,172
15847,175
15850,231
15851,231
15852,214
15860,175
15876,175
15877,175
15878,175
15879,175
15920,142
15922,142
15931,170
15933,142
15934,170
15935,142
15936,170
15937,142
15940,170
15941,142
15944,170
15945,142
15946,142
15950,170
15951,142
15952,170
15953,142
15956,170
15958,142
15999,170
16000,214
16020,169
16025,169
16030,169
16035,175
16036,175
17000,170
17003,170
17004,170
17106,170
17107,170
17108,170
17110,170
17111,170
17250,170
17260,170
17261,170
17262,170
17263,170
17264,170
17266,170
17270,170
17271,170
17272,170
17273,170
17274,170
17276,170
17280,170
17281,170
17282,170
17283,170
17284,170
17286,170
17311,170
17312,170
17313,170
17314,170
17315,170
17340,170
17360,170
17380,170
17999,175
19000,165
19001,165
19020,175
19030,165
19081,165
19082,165
19083,165
19084,165
19085,165
19086,165
19100,165
19101,165
19105,132
19110,174
19112,175
19120,166
19125,166
19126,166
19260,142
19271,142
19272,142
19281,165
19282,165
19283,165
19284,165
19285,165
19286,165
19287,165
19288,165
19296,175
19297,166
19298,175
19300,167
19301,166
19302,166
19303,167
19304,167
19305,167
19306,167
19307,167
19316,175
19318,175
19324,175
19325,175
19328,175
19330,175
19340,175
19342,175
19350,175
19355,175
19357,175
19361,175
19364,175
19366,175
19367,175
19368,175
19369,175
19370,175
19371,175
19380,175
19396,174
19499,175
20005,164
20100,175
20101,175
20102,175
20103,175
20150,142
20200,159
20205,159
20206,159
20220,159
20225,159
20240,159
20245,159
20250,159
20251,159
20500,156
20501,159
20520,160
20525,160
20526,231
20527,156
20550,156
20551,156
20552,156
20553,156
20555,164
20600,155
20604,155
20605,155
20606,155
20610,155
20611,155
20612,156
20615,161
20650,214
20660,214
20661,214
20662,214
20663,214
20664,214
20665,161
20670,161
20680,161
20690,161
20692,161
20693,161
20694,161
20696,161
20697,161
20802,164
20805,164
20808,164
20816,164
20822,164
20824,164
20827,164
20838,164
20900,161
20902,161
20910,164
20912,33
20920,160
20922,160
20924,160
20926,175
20930,161
20931,161
20936,161
20937,161
20938,161
20950,159
20955,161
20956,161
20957,161
20962,161
20969,161
20970,161
20972,161
20973,161
20974,163
20975,161
20979,163
20982,163
20983,163
20985,164
20999,164
21010,162
21011,170
21012,170
21013,160
21014,160
21015,160
21016,160
21025,142
21026,142
21029,142
21030,142
21031,142
21032,142
21034,142
21040,142
21044,142
21045,142
21046,142
21047,142
21048,142
21049,142
21050,142
21060,164
21070,142
21073,162
21076,32
21077,32
21079,32
21080,32
21081,32
21082,32
21083,32
21084,32
21085,32
21086,32
21087,32
21088,32
21089,32
21100,33
21110,29
21116,226
21120,161
21121,161
21122,161
21123,161
21125,161
21127,161
21137,161
21138,161
21139,161
21141,161
21142,161
21143,161
21145,161
21146,161
21147,161
21150,161
21151,161
21154,161
21155,161
21159,161
21160,161
21172,161
21175,161
21179,161
21180,161
21181,161
21182,161
21183,161
21184,161
21188,161
21193,161
21194,161
21195,161
21196,161
21198,161
21199,161
21206,161
21208,161
21209,142
21210,161
21215,161
21230,164
21235,164
21240,154
21242,154
21243,154
21244,161
21245,161
21246,161
21247,161
21248,161
21249,161
21255,161
21256,161
21260,161
21261,161
21263,161
21267,161
21268,161
21270,161
21275,161
21280,21
21282,21
21295,142
21296,142
21299,164
21310,144
21315,144
21320,144
21325,144
21330,144
21335,144
21336,144
21337,144
21338,144
21339,144
21340,144
21343,144
21344,144
21345,144
21346,144
21347,144
21348,144
21355,144
21356,144
21360,144
21365,144
21366,144
21385,144
21386,144
21387,144
21390,144
21395,144
21400,144
21401,144
21406,144
21407,144
21408,144
21421,144
21422,144
21423,144
21431,144
21432,144
21433,144
21435,144
21436,144
21440,144
21445,144
21450,144
21451,144
21452,144
21453,144
21454,144
21461,144
21462,144
21465,144
21470,144
21480,144
21485,144
21490,144
21495,144
21497,29
21499,164
21501,168
21502,142
21510,161
21550,159
21552,170
21554,160
21555,170
21556,160
21557,160
21558,160
21600,142
21610,142
21615,142
21616,142
21620,142
21627,142
21630,142
21632,142
21685,164
21700,160
21705,142
21720,160
