Zip_Code,County
501,Suffolk
544,Suffolk
6390,Suffolk
10001,New York
10002,New York
10003,New York
10004,New York
10005,New York
10006,New York
10007,New York
10008,New York
10009,New York
10010,New York
10011,New York
10012,New York
10013,New York
10014,New York
10015,New York
10016,New York
10017,New York
10018,New York
10019,New York
10020,New York
10021,New York
10022,New York
10023,New York
10024,New York
10025,New York
10026,New York
10027,New York
10028,New York
10029,New York
10030,New York
10031,New York
10032,New York
10033,New York
10034,New York
10035,New York
10036,New York
10037,New York
10038,New York
10039,New York
10040,New York
10041,New York
10043,New York
10044,New York
10045,New York
10046,New York
10047,New York
10048,New York
10055,New York
10060,New York
10069,New York
10072,New York
10079,New York
10080,New York
10081,New York
10082,New York
10087,New York
10090,New York
10094,New York
10095,New York
10096,New York
10098,New York
10099,New York
10101,New York
10102,New York
10103,New York
10104,New York
10105,New York
10106,New York
10107,New York
10108,New York
10109,New York
10110,New York
10111,New York
10112,New York
10113,New York
10114,New York
10115,New York
10116,New York
10117,New York
10118,New York
10119,New York
10120,New York
10121,New York
10122,New York
10123,New York
10124,New York
10125,New York
10126,New York
10128,New York
10129,New York
10130,New York
10131,New York
10132,New York
10133,New York
10138,New York
10149,New York
10150,New York
10151,New York
10152,New York
10153,New York
10154,New York
10155,New York
10156,New York
10157,New York
10158,New York
10159,New York
10160,New York
10161,New York
10162,New York
10163,New York
10164,New York
10165,New York
10166,New York
10167,New York
10168,New York
10169,New York
10170,New York
10171,New York
10172,New York
10173,New York
10174,New York
10175,New York
10176,New York
10177,New York
10178,New York
10179,New York
10184,New York
10185,New York
10196,New York
10197,New York
10199,New York
10203,New York
10211,New York
10212,New York
10213,New York
10242,New York
10249,New York
10256,New York
10257,New York
10258,New York
10259,New York
10260,New York
10261,New York
10265,New York
10268,New York
10269,New York
10270,New York
10271,New York
10272,New York
10273,New York
10274,New York
10275,New York
10276,New York
10277,New York
10278,New York
10279,New York
10280,New York
10281,New York
10282,New York
10285,New York
10286,New York
10292,New York
10301,Richmond
10302,Richmond
10303,Richmond
10304,Richmond
10305,Richmond
10306,Richmond
10307,Richmond
10308,Richmond
